date,txVolume(USD),txCount,marketcap(USD),price(USD),exchangeVolume(USD),generatedCoins,fees
2017-11-13,24717087645.9,309159,99029000000,5938.25,6263250000,1750,783.38626441
2017-11-14,23482168188.1,271867,109434000000,6561.48,3197110000,1600,615.08687921
2017-11-15,19653332646.4,321636,110667000000,6634.76,4200880000,1900,603.50996198
2017-11-16,25779850794.8,310244,122164000000,7323.24,5123810000,1900,502.64025918
2017-11-17,27276055666.4,306450,131026000000,7853.57,4651670000,2087.5,401.16643265
2017-11-18,19518236321.5,270738,128425000000,7697.21,3667190000,1700,289.98839235
2017-11-19,21435790609.5,264695,129595000000,7766.03,3149320000,2000,247.44354414
2017-11-20,23942095652.1,336029,134167000000,8039.07,3488450000,2187.5,329.01817427
2017-11-21,24510232855.2,370918,136967000000,8205.74,4277610000,2162.5,310.29655182
2017-11-22,20348301781.6,311885,134851000000,8077.95,3633530000,1850,256.40318228
2017-11-23,22127414858.8,352050,137444000000,8232.38,4225180000,1962.5,265.91956914
2017-11-24,18132626557.3,305586,134816000000,8074.02,5058610000,1862.5,233.53648718
2017-11-25,18063710661,336533,137632000000,8241.71,4342060000,1950,195.63976527
